#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 04 15 57 999 99.0 99.0  1.17 14.29 10.37 264 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 16 27 999 99.0 99.0  1.33 15.38 10.57 264 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 16 57 999 99.0 99.0  1.20 15.38 10.48 260 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 17 27 999 99.0 99.0  1.24 11.76 10.02 272 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 17 57 999 99.0 99.0  1.29 12.50 10.48 271 9999.0 999.0  12.4 999.0 99.0 99.00
2019 01 04 18 27 999 99.0 99.0  1.33 11.76 10.71 268 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 18 57 999 99.0 99.0  1.33 15.38 11.07 267 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 19 27 999 99.0 99.0  1.45 15.38 11.41 261 9999.0 999.0  12.5 999.0 99.0 99.00
2019 01 04 19 57 999 99.0 99.0  1.29 12.50 10.78 271 9999.0 999.0  12.6 999.0 99.0 99.00
2019 01 04 20 27 999 99.0 99.0  1.47 15.38 11.52 265 9999.0 999.0  12.7 999.0 99.0 99.00
2019 01 04 20 57 999 99.0 99.0  1.37 15.38 11.10 261 9999.0 999.0  12.8 999.0 99.0 99.00
2019 01 04 21 27 999 99.0 99.0  1.29 16.67 10.98 252 9999.0 999.0  12.9 999.0 99.0 99.00
2019 01 04 21 57 999 99.0 99.0  1.47 14.29 11.71 264 9999.0 999.0  12.9 999.0 99.0 99.00
2019 01 04 22 27 999 99.0 99.0  1.28 12.50 10.91 260 9999.0 999.0  13.1 999.0 99.0 99.00
2019 01 04 22 57 999 99.0 99.0  1.49 15.38 11.52 254 9999.0 999.0  13.9 999.0 99.0 99.00
2019 01 04 23 27 999 99.0 99.0  1.57 13.33 11.65 260 9999.0 999.0  14.4 999.0 99.0 99.00
2019 01 04 23 57 999 99.0 99.0  1.47 14.29 11.28 262 9999.0 999.0  14.2 999.0 99.0 99.00
2019 01 05 00 27 999 99.0 99.0  1.52 14.29 11.67 267 9999.0 999.0  14.4 999.0 99.0 99.00
2019 01 05 00 57 999 99.0 99.0  1.37 14.29 11.08 262 9999.0 999.0  14.5 999.0 99.0 99.00
2019 01 05 01 27 999 99.0 99.0  1.59 14.29 11.92 267 9999.0 999.0  14.4 999.0 99.0 99.00
